"","value","L1"
"ALG1L2","ALG1L2",15
"AUNIP","AUNIP",15
"C16orf62","C16orf62",15
"C1orf145","C1orf145",15
"CAND2","CAND2",15
"CAPN12","CAPN12",15
"CCAR2","CCAR2",15
"CD244","CD244",15
"CDHR2","CDHR2",15
"CDIP1","CDIP1",15
"CLMN","CLMN",15
"COG5","COG5",15
"CRELD1","CRELD1",15
"DENND6B","DENND6B",15
"DNAJB13","DNAJB13",15
"FOXO4","FOXO4",15
"GGACT","GGACT",15
"GP1BA","GP1BA",15
"HFE","HFE",15
"IMMT","IMMT",15
"ISYNA1","ISYNA1",15
"KIF24","KIF24",15
"L3MBTL2","L3MBTL2",15
"LIX1","LIX1",15
"LOC100287042","LOC100287042",15
"LOC100996447","LOC100996447",15
"LOC101927688","LOC101927688",15
"LOC101928445","LOC101928445",15
"LOC101929057","LOC101929057",15
"LOC101929452","LOC101929452",15
"LOC101929524","LOC101929524",15
"LOC101929698","LOC101929698",15
"MAP3K15","MAP3K15",15
"MBOAT4","MBOAT4",15
"MTRNR2L4","MTRNR2L4",15
"NAA20","NAA20",15
"NRIP2","NRIP2",15
"OTUD4","OTUD4",15
"PDXDC1","PDXDC1",15
"PGAM2","PGAM2",15
"PIK3IP1","PIK3IP1",15
"PKD1","PKD1",15
"PLCD1","PLCD1",15
"PLCG1","PLCG1",15
"PLTP","PLTP",15
"POFUT2","POFUT2",15
"POMT1","POMT1",15
"PPFIA1","PPFIA1",15
"PRR15L","PRR15L",15
"PTPN23","PTPN23",15
"PYGM","PYGM",15
"RAB6B","RAB6B",15
"RMND5B","RMND5B",15
"RNF166","RNF166",15
"RNF32","RNF32",15
"RUSC1-AS1","RUSC1-AS1",15
"SKP1","SKP1",15
"SLC16A8","SLC16A8",15
"SLC22A7","SLC22A7",15
"SLC25A22","SLC25A22",15
"SLC38A10","SLC38A10",15
"SLC9A5","SLC9A5",15
"SNN","SNN",15
"SPHK2","SPHK2",15
"STARD4","STARD4",15
"TAPSAR1","TAPSAR1",15
"TEX10","TEX10",15
"TMC3","TMC3",15
"TMC4","TMC4",15
"TMEM204","TMEM204",15
"TMEM97","TMEM97",15
"TMEM9B","TMEM9B",15
"TPCN1","TPCN1",15
"TRABD","TRABD",15
"TRPT1","TRPT1",15
"TRPV6","TRPV6",15
"TSPAN4","TSPAN4",15
"TXNDC11","TXNDC11",15
"VPS37B","VPS37B",15
"VSIG2","VSIG2",15
"ZBTB12","ZBTB12",15
"ZNF335","ZNF335",15
"ZNF446","ZNF446",15
"ZNF740","ZNF740",15
"ACBD3","ACBD3",16
"AGAP3","AGAP3",16
"AGMAT","AGMAT",16
"AIMP1","AIMP1",16
"AIMP2","AIMP2",16
"ANAPC13","ANAPC13",16
"ANKRD37","ANKRD37",16
"AP1AR","AP1AR",16
"AP4B1-AS1","AP4B1-AS1",16
"APC2","APC2",16
"APOM","APOM",16
"APTR","APTR",16
"ARFGAP2","ARFGAP2",16
"ARL4C","ARL4C",16
"ARMC7","ARMC7",16
"ARPC4","ARPC4",16
"ASAP1","ASAP1",16
"ATF5","ATF5",16
"ATG12","ATG12",16
"ATP5J","ATP5J",16
"BANF1","BANF1",16
"BBX","BBX",16
"BRICD5","BRICD5",16
"BRWD3","BRWD3",16
"BTD","BTD",16
"C10orf118","C10orf118",16
"C14orf178","C14orf178",16
"C16orf45","C16orf45",16
"C16orf72","C16orf72",16
"C17orf104","C17orf104",16
"C17orf58","C17orf58",16
"C17orf62","C17orf62",16
"C1QBP","C1QBP",16
"C1RL-AS1","C1RL-AS1",16
"C4orf46","C4orf46",16
"C5","C5",16
"C7orf49","C7orf49",16
"CADM4","CADM4",16
"CAPZB","CAPZB",16
"CASC3","CASC3",16
"CCDC152","CCDC152",16
"CCDC59","CCDC59",16
"CCDC77","CCDC77",16
"CCNI","CCNI",16
"CD46","CD46",16
"CD6","CD6",16
"CDC25C","CDC25C",16
"CDK13","CDK13",16
"CDV3","CDV3",16
"CELSR1","CELSR1",16
"CHD6","CHD6",16
"CHRNE","CHRNE",16
"CIRBP","CIRBP",16
"CNOT7","CNOT7",16
"COL4A3BP","COL4A3BP",16
"COX10","COX10",16
"CPT1A","CPT1A",16
"CRB3","CRB3",16
"CREBBP","CREBBP",16
"CRYZ","CRYZ",16
"CTC-436P18.1","CTC-436P18.1",16
"CTSA","CTSA",16
"CTSZ","CTSZ",16
"DDX11L2","DDX11L2",16
"DDX11L9","DDX11L9",16
"DDX28","DDX28",16
"DDX31","DDX31",16
"DEF8","DEF8",16
"DHRS4L1","DHRS4L1",16
"DNAJC11","DNAJC11",16
"DNAJC5","DNAJC5",16
"DNALI1","DNALI1",16
"DND1","DND1",16
"DOCK10","DOCK10",16
"DOLK","DOLK",16
"DPY19L1P1","DPY19L1P1",16
"EEF1B2","EEF1B2",16
"EFCAB10","EFCAB10",16
"EFCAB14-AS1","EFCAB14-AS1",16
"EIF2A","EIF2A",16
"EIF2AK4","EIF2AK4",16
"ELMO1-AS1","ELMO1-AS1",16
"EMILIN1","EMILIN1",16
"ENTHD2","ENTHD2",16
"EVL","EVL",16
"EXOC5","EXOC5",16
"EXTL2","EXTL2",16
"FAM120A","FAM120A",16
"FAM120AOS","FAM120AOS",16
"FAM120B","FAM120B",16
"FGD5-AS1","FGD5-AS1",16
"FGF2","FGF2",16
"FOXH1","FOXH1",16
"FOXP1","FOXP1",16
"FRAT2","FRAT2",16
"GCFC2","GCFC2",16
"GLUD1","GLUD1",16
"GLYR1","GLYR1",16
"GNG3","GNG3",16
"GNL1","GNL1",16
"GNRHR2","GNRHR2",16
"GOPC","GOPC",16
"GPN3","GPN3",16
"GPR183","GPR183",16
"GPS2","GPS2",16
"GTF2A1","GTF2A1",16
"GTF3C2-AS1","GTF3C2-AS1",16
"HNRNPR","HNRNPR",16
"ICAM3","ICAM3",16
"IER3","IER3",16
"IFI16","IFI16",16
"IL18BP","IL18BP",16
"INO80","INO80",16
"IPO9","IPO9",16
"IPP","IPP",16
"IPPK","IPPK",16
"IRF1","IRF1",16
"IST1","IST1",16
"KBTBD3","KBTBD3",16
"KDM2B","KDM2B",16
"KHSRP","KHSRP",16
"KIAA1109","KIAA1109",16
"KIF26B","KIF26B",16
"KIF5B","KIF5B",16
"KPNB1","KPNB1",16
"KRTCAP3","KRTCAP3",16
"LBX2","LBX2",16
"LGALS8-AS1","LGALS8-AS1",16
"LINC00662","LINC00662",16
"LOC100131626","LOC100131626",16
"LOC100507424","LOC100507424",16
"LOC101593348","LOC101593348",16
"LOC101926943","LOC101926943",16
"LOC101927117","LOC101927117",16
"LOC101927730","LOC101927730",16
"LOC101927795","LOC101927795",16
"LOC101928386","LOC101928386",16
"LOC101928847","LOC101928847",16
"LOC101929231","LOC101929231",16
"LOC102723385","LOC102723385",16
"LRRFIP2","LRRFIP2",16
"MAK","MAK",16
"MARCH6","MARCH6",16
"MAVS","MAVS",16
"MDH2","MDH2",16
"MDN1","MDN1",16
"MED14OS","MED14OS",16
"METTL3","METTL3",16
"METTL8","METTL8",16
"MFI2","MFI2",16
"MIPEPP3","MIPEPP3",16
"MIR3124","MIR3124",16
"MIS18BP1","MIS18BP1",16
"MKRN2","MKRN2",16
"MPC2","MPC2",16
"MROH8","MROH8",16
"MRPS25","MRPS25",16
"MRRF","MRRF",16
"MSMP","MSMP",16
"MYCBP2-AS1","MYCBP2-AS1",16
"NADK2","NADK2",16
"NANS","NANS",16
"NCAM1","NCAM1",16
"NCOR2","NCOR2",16
"NELFE","NELFE",16
"NFRKB","NFRKB",16
"NFU1","NFU1",16
"NFYC-AS1","NFYC-AS1",16
"NLRC4","NLRC4",16
"NNT-AS1","NNT-AS1",16
"NOM1","NOM1",16
"NSA2","NSA2",16
"NSRP1","NSRP1",16
"NUDT1","NUDT1",16
"NUDT17","NUDT17",16
"OPA1-AS1","OPA1-AS1",16
"PAQR4","PAQR4",16
"PARP9","PARP9",16
"PIK3R5","PIK3R5",16
"PKD2L2","PKD2L2",16
"PKDREJ","PKDREJ",16
"PKIG","PKIG",16
"PKLR","PKLR",16
"PLA2G10","PLA2G10",16
"PLBD1","PLBD1",16
"PLD6","PLD6",16
"PLEKHH1","PLEKHH1",16
"PMCH","PMCH",16
"PMS2P9","PMS2P9",16
"POLG","POLG",16
"PPP1CA","PPP1CA",16
"PPP5D1","PPP5D1",16
"PROSER2-AS1","PROSER2-AS1",16
"PRSS53","PRSS53",16
"PTGER2","PTGER2",16
"PTRHD1","PTRHD1",16
"RAB6C-AS1","RAB6C-AS1",16
"RAD21-AS1","RAD21-AS1",16
"RAPGEF3","RAPGEF3",16
"RBM10","RBM10",16
"RCSD1","RCSD1",16
"RHD","RHD",16
"RIN3","RIN3",16
"RNASEH2B-AS1","RNASEH2B-AS1",16
"RPS25","RPS25",16
"RRP7B","RRP7B",16
"SBSPON","SBSPON",16
"SDF2","SDF2",16
"SELPLG","SELPLG",16
"SENP6","SENP6",16
"SETD1A","SETD1A",16
"SGPP2","SGPP2",16
"SIAH1","SIAH1",16
"SIDT1","SIDT1",16
"SLC25A11","SLC25A11",16
"SLC35A2","SLC35A2",16
"SLC39A1","SLC39A1",16
"SMAD9","SMAD9",16
"SMG7-AS1","SMG7-AS1",16
"SPTAN1","SPTAN1",16
"SPTY2D1-AS1","SPTY2D1-AS1",16
"SRSF7","SRSF7",16
"STIP1","STIP1",16
"STK10","STK10",16
"STT3B","STT3B",16
"SYN1","SYN1",16
"TACC3","TACC3",16
"TBC1D14","TBC1D14",16
"TGFB3","TGFB3",16
"THAP9-AS1","THAP9-AS1",16
"THRAP3","THRAP3",16
"TIMMDC1","TIMMDC1",16
"TLK1","TLK1",16
"TMED10P1","TMED10P1",16
"TMED6","TMED6",16
"TMEM138","TMEM138",16
"TMEM140","TMEM140",16
"TMEM179B","TMEM179B",16
"TMEM243","TMEM243",16
"TMEM254-AS1","TMEM254-AS1",16
"TMOD1","TMOD1",16
"TMX4","TMX4",16
"TNFRSF25","TNFRSF25",16
"TOX4","TOX4",16
"TRIM52","TRIM52",16
"TRIM67","TRIM67",16
"TRMT13","TRMT13",16
"TSR1","TSR1",16
"TSSK2","TSSK2",16
"TSTD3","TSTD3",16
"TUBB","TUBB",16
"TYW5","TYW5",16
"UBAP1","UBAP1",16
"UBAP2L","UBAP2L",16
"UCHL5","UCHL5",16
"USF1","USF1",16
"USP47","USP47",16
"VAC14-AS1","VAC14-AS1",16
"VDAC2","VDAC2",16
"VPS26B","VPS26B",16
"VPS54","VPS54",16
"WRAP53","WRAP53",16
"YME1L1","YME1L1",16
"YPEL1","YPEL1",16
"ZBTB11-AS1","ZBTB11-AS1",16
"ZBTB4","ZBTB4",16
"ZBTB8A","ZBTB8A",16
"ZC3H13","ZC3H13",16
"ZNF252P-AS1","ZNF252P-AS1",16
"ZNF596","ZNF596",16
"ZNF609","ZNF609",16
"ACO2","ACO2",17
"ACSBG1","ACSBG1",17
"ADD3-AS1","ADD3-AS1",17
"AGA","AGA",17
"ANAPC10","ANAPC10",17
"ANKRD12","ANKRD12",17
"ATG7","ATG7",17
"B3GALNT2","B3GALNT2",17
"C1orf122","C1orf122",17
"C21orf33","C21orf33",17
"C9orf163","C9orf163",17
"CABLES1","CABLES1",17
"CASC1","CASC1",17
"CCDC176","CCDC176",17
"CCNL1","CCNL1",17
"CD81-AS1","CD81-AS1",17
"CEBPZ","CEBPZ",17
"CGGBP1","CGGBP1",17
"DCBLD1","DCBLD1",17
"DDIT3","DDIT3",17
"DHFRL1","DHFRL1",17
"DHRS4","DHRS4",17
"DNAJB1","DNAJB1",17
"EIF3J","EIF3J",17
"ENO4","ENO4",17
"FAM216A","FAM216A",17
"FBXO8","FBXO8",17
"FSD2","FSD2",17
"FYTTD1","FYTTD1",17
"HIAT1","HIAT1",17
"HYAL1","HYAL1",17
"IFIT1","IFIT1",17
"IPO9-AS1","IPO9-AS1",17
"IQCH-AS1","IQCH-AS1",17
"ITGAM","ITGAM",17
"JADE1","JADE1",17
"KANSL1L","KANSL1L",17
"KIAA1524","KIAA1524",17
"KLF3-AS1","KLF3-AS1",17
"LIMD1-AS1","LIMD1-AS1",17
"LNX1","LNX1",17
"LOC100128494","LOC100128494",17
"LOC100130093","LOC100130093",17
"LOC100287944","LOC100287944",17
"LOC100289511","LOC100289511",17
"LOC100506551","LOC100506551",17
"LOC101926895","LOC101926895",17
"LOC101927151","LOC101927151",17
"LOC101927497","LOC101927497",17
"LOC101927770","LOC101927770",17
"LOC101928243","LOC101928243",17
"LOC101928371","LOC101928371",17
"LOC101929162","LOC101929162",17
"LOC646719","LOC646719",17
"LOC730183","LOC730183",17
"LYSMD1","LYSMD1",17
"MAGI3","MAGI3",17
"MAN2A1","MAN2A1",17
"MBNL1-AS1","MBNL1-AS1",17
"MIR6126","MIR6126",17
"MLX","MLX",17
"MTOR-AS1","MTOR-AS1",17
"MYH11","MYH11",17
"NPC1","NPC1",17
"NRG4","NRG4",17
"NUP214","NUP214",17
"OPRM1","OPRM1",17
"OTUD5","OTUD5",17
"PERM1","PERM1",17
"PIAS3","PIAS3",17
"PMPCB","PMPCB",17
"PPP3CB","PPP3CB",17
"PRNCR1","PRNCR1",17
"PSIP1","PSIP1",17
"PTOV1-AS1","PTOV1-AS1",17
"RSPH4A","RSPH4A",17
"RUNX2","RUNX2",17
"S100A13","S100A13",17
"SERHL","SERHL",17
"SETD6","SETD6",17
"SH3BP5-AS1","SH3BP5-AS1",17
"SLC20A2","SLC20A2",17
"SLC25A5","SLC25A5",17
"SLC4A1AP","SLC4A1AP",17
"SMC5","SMC5",17
"SMIM19","SMIM19",17
"SNRK-AS1","SNRK-AS1",17
"SNX17","SNX17",17
"SRRD","SRRD",17
"STXBP5-AS1","STXBP5-AS1",17
"SUV39H2","SUV39H2",17
"TBCK","TBCK",17
"TCF7L2","TCF7L2",17
"TCHP","TCHP",17
"TMEM66","TMEM66",17
"TNFAIP1","TNFAIP1",17
"TPI1","TPI1",17
"TRAF3IP1","TRAF3IP1",17
"TSC22D1-AS1","TSC22D1-AS1",17
"TSFM","TSFM",17
"TUBG1","TUBG1",17
"UBC","UBC",17
"VRK2","VRK2",17
"YARS","YARS",17
"ZBTB10","ZBTB10",17
"ZCCHC3","ZCCHC3",17
"ZNF789","ZNF789",17
"ZNF839","ZNF839",17
"ZSCAN2","ZSCAN2",17
"ACSM3","ACSM3",18
"ADAMTSL4-AS1","ADAMTSL4-AS1",18
"ALG1L","ALG1L",18
"AMOTL1","AMOTL1",18
"ANKS1B","ANKS1B",18
"ANPEP","ANPEP",18
"AOAH","AOAH",18
"AP2B1","AP2B1",18
"APOBR","APOBR",18
"ASTE1","ASTE1",18
"B3GNT9","B3GNT9",18
"BCCIP","BCCIP",18
"BIN1","BIN1",18
"BRSK1","BRSK1",18
"BTBD11","BTBD11",18
"C16orf86","C16orf86",18
"C17orf59","C17orf59",18
"C5orf66","C5orf66",18
"CARM1","CARM1",18
"CATIP","CATIP",18
"CATIP-AS1","CATIP-AS1",18
"CCDC23","CCDC23",18
"CCDC57","CCDC57",18
"CCR2","CCR2",18
"CD27","CD27",18
"CD2BP2","CD2BP2",18
"CD300LB","CD300LB",18
"CD8A","CD8A",18
"CD93","CD93",18
"CDH13","CDH13",18
"CHN2","CHN2",18
"CISD3","CISD3",18
"CLDN22","CLDN22",18
"CLEC7A","CLEC7A",18
"CNPY3","CNPY3",18
"COG7","COG7",18
"COPZ1","COPZ1",18
"CPVL","CPVL",18
"CRB2","CRB2",18
"CRKL","CRKL",18
"CSNK2A2","CSNK2A2",18
"CTBP1-AS2","CTBP1-AS2",18
"CTBS","CTBS",18
"CTD-2270F17.1","CTD-2270F17.1",18
"CTDNEP1","CTDNEP1",18
"CYLD","CYLD",18
"CYTH4","CYTH4",18
"DOCK8","DOCK8",18
"DOK1","DOK1",18
"DTX4","DTX4",18
"DYNC1LI1","DYNC1LI1",18
"EEF1D","EEF1D",18
"ENTPD1","ENTPD1",18
"ERGIC2","ERGIC2",18
"FAM212B","FAM212B",18
"FAM228B","FAM228B",18
"FCRL6","FCRL6",18
"FGL2","FGL2",18
"FTH1","FTH1",18
"FTX","FTX",18
"GAS6-AS1","GAS6-AS1",18
"GATAD2A","GATAD2A",18
"GNAL","GNAL",18
"GNG12-AS1","GNG12-AS1",18
"GPR88","GPR88",18
"GYLTL1B","GYLTL1B",18
"HEATR4","HEATR4",18
"HTRA2","HTRA2",18
"IL23A","IL23A",18
"IL26","IL26",18
"IL27","IL27",18
"ITGAL","ITGAL",18
"JMY","JMY",18
"KCNH7","KCNH7",18
"KDM8","KDM8",18
"KIF9-AS1","KIF9-AS1",18
"KMT2B","KMT2B",18
"LAMTOR1","LAMTOR1",18
"LGI2","LGI2",18
"LIMD2","LIMD2",18
"LINC01271","LINC01271",18
"LIPM","LIPM",18
"LOC100129083","LOC100129083",18
"LOC100133445","LOC100133445",18
"LOC100506071","LOC100506071",18
"LOC100506801","LOC100506801",18
"LOC101927100","LOC101927100",18
"LOC101928517","LOC101928517",18
"LOC101928891","LOC101928891",18
"LOC101929099","LOC101929099",18
"LOC553103","LOC553103",18
"LRP1","LRP1",18
"LRRC59","LRRC59",18
"MIER3","MIER3",18
"MRVI1-AS1","MRVI1-AS1",18
"MXD3","MXD3",18
"MYC","MYC",18
"NACC1","NACC1",18
"NCAPG","NCAPG",18
"NCAPH2","NCAPH2",18
"NCR3","NCR3",18
"NELFCD","NELFCD",18
"NFIX","NFIX",18
"NOA1","NOA1",18
"NOP9","NOP9",18
"NPRL2","NPRL2",18
"NQO2","NQO2",18
"NT5DC2","NT5DC2",18
"OGG1","OGG1",18
"ORAI2","ORAI2",18
"PBX2","PBX2",18
"PCBP1","PCBP1",18
"PDAP1","PDAP1",18
"PDIA3","PDIA3",18
"PER3","PER3",18
"PET100","PET100",18
"PFDN1","PFDN1",18
"PFN2","PFN2",18
"PHKA2-AS1","PHKA2-AS1",18
"PHOX2A","PHOX2A",18
"PLXDC2","PLXDC2",18
"PLXNB2","PLXNB2",18
"POLG2","POLG2",18
"PPM1F","PPM1F",18
"PPP1R7","PPP1R7",18
"PSMC3IP","PSMC3IP",18
"RAB23","RAB23",18
"RAB31","RAB31",18
"RAB37","RAB37",18
"RARA","RARA",18
"RARA-AS1","RARA-AS1",18
"RBL2","RBL2",18
"RNF220","RNF220",18
"RNF40","RNF40",18
"RPE","RPE",18
"RPF1","RPF1",18
"RPL10","RPL10",18
"RPL31P11","RPL31P11",18
"RPS27A","RPS27A",18
"SAMD11","SAMD11",18
"SARM1","SARM1",18
"SASH3","SASH3",18
"SETD2","SETD2",18
"SIAE","SIAE",18
"SIRPA","SIRPA",18
"SIRT3","SIRT3",18
"SLC22A18AS","SLC22A18AS",18
"SLC25A18","SLC25A18",18
"SMARCE1","SMARCE1",18
"SMTN","SMTN",18
"SNX30","SNX30",18
"SPATA32","SPATA32",18
"SPIDR","SPIDR",18
"SREBF2","SREBF2",18
"SSFA2","SSFA2",18
"SSPO","SSPO",18
"STX7","STX7",18
"SYCP3","SYCP3",18
"TAF10","TAF10",18
"TCAIM","TCAIM",18
"TMBIM1","TMBIM1",18
"TMEM132A","TMEM132A",18
"TMEM150A","TMEM150A",18
"TMEM167A","TMEM167A",18
"TNFAIP2","TNFAIP2",18
"TNK2","TNK2",18
"TOM1L1","TOM1L1",18
"TRMT112","TRMT112",18
"TSPAN16","TSPAN16",18
"TTLL2","TTLL2",18
"TUBA4A","TUBA4A",18
"TVP23A","TVP23A",18
"UNKL","UNKL",18
"VGLL4","VGLL4",18
"WDR1","WDR1",18
"WDR83","WDR83",18
"WNT1","WNT1",18
"YIPF2","YIPF2",18
"ZC3H14","ZC3H14",18
"ZEB2","ZEB2",18
"ZNF219","ZNF219",18
"ZNF296","ZNF296",18
"ZNF385C","ZNF385C",18
"ZNF804A","ZNF804A",18
"ACTG1","ACTG1",19
"ACTR2","ACTR2",19
"ADAM10","ADAM10",19
"ADRBK2","ADRBK2",19
"AGPAT6","AGPAT6",19
"AIF1","AIF1",19
"ANP32A","ANP32A",19
"ANXA1","ANXA1",19
"ANXA5","ANXA5",19
"AP3B1","AP3B1",19
"APP","APP",19
"ARFGEF1","ARFGEF1",19
"ARHGDIB","ARHGDIB",19
"ARRB1","ARRB1",19
"ASAH1","ASAH1",19
"ATF4","ATF4",19
"ATG3","ATG3",19
"ATP6V1B2","ATP6V1B2",19
"B4GALT5","B4GALT5",19
"BACH1","BACH1",19
"BNIP2","BNIP2",19
"CALCOCO1","CALCOCO1",19
"CALCOCO2","CALCOCO2",19
"CANX","CANX",19
"CASP1","CASP1",19
"CD163","CD163",19
"CD300E","CD300E",19
"CD44","CD44",19
"CDC42","CDC42",19
"CDK5RAP3","CDK5RAP3",19
"CFDP1","CFDP1",19
"CHD8","CHD8",19
"CLEC4E","CLEC4E",19
"CPSF2","CPSF2",19
"CRTAP","CRTAP",19
"CSF3R","CSF3R",19
"CTSS","CTSS",19
"CYBB","CYBB",19
"CYP1B1","CYP1B1",19
"DEK","DEK",19
"DNAJB11","DNAJB11",19
"DNAJB7","DNAJB7",19
"EHBP1L1","EHBP1L1",19
"EIF3A","EIF3A",19
"EMILIN2","EMILIN2",19
"ENSA","ENSA",19
"FAM192A","FAM192A",19
"FAM86B3P","FAM86B3P",19
"FCN1","FCN1",19
"FOXJ2","FOXJ2",19
"GDAP2","GDAP2",19
"GIMAP6","GIMAP6",19
"GLUL","GLUL",19
"HINT1","HINT1",19
"HK1","HK1",19
"HLA-B","HLA-B",19
"HMGN4","HMGN4",19
"HOMER3","HOMER3",19
"HSP90AA1","HSP90AA1",19
"IL10RA","IL10RA",19
"IL13RA1","IL13RA1",19
"ILF3","ILF3",19
"IQCD","IQCD",19
"ITGA4","ITGA4",19
"KCTD12","KCTD12",19
"KIAA0430","KIAA0430",19
"KLF6","KLF6",19
"LASP1","LASP1",19
"LCP1","LCP1",19
"LILRB3","LILRB3",19
"LPGAT1","LPGAT1",19
"LTA4H","LTA4H",19
"LYZ","LYZ",19
"MAP3K2","MAP3K2",19
"MEF2C","MEF2C",19
"MEGF9","MEGF9",19
"MIR548AZ","MIR548AZ",19
"MIS12","MIS12",19
"MNDA","MNDA",19
"MPEG1","MPEG1",19
"NAGK","NAGK",19
"NFAM1","NFAM1",19
"NFE2L1","NFE2L1",19
"NLRP1","NLRP1",19
"NMI","NMI",19
"NOTCH2","NOTCH2",19
"OLIG1","OLIG1",19
"PAFAH1B1","PAFAH1B1",19
"PGD","PGD",19
"PKM","PKM",19
"PPP1CB","PPP1CB",19
"PPT1","PPT1",19
"PRKCB","PRKCB",19
"PSAP","PSAP",19
"PSMD13","PSMD13",19
"PSTPIP2","PSTPIP2",19
"QKI","QKI",19
"RAB3D","RAB3D",19
"RANBP2","RANBP2",19
"RASSF2","RASSF2",19
"RBBP6","RBBP6",19
"RGS2","RGS2",19
"RNF144B","RNF144B",19
"RPL18","RPL18",19
"RPS4X","RPS4X",19
"RTF1","RTF1",19
"RTFDC1","RTFDC1",19
"SKAP2","SKAP2",19
"SLA2","SLA2",19
"SLC6A6","SLC6A6",19
"SLTM","SLTM",19
"SMAD2","SMAD2",19
"SP1","SP1",19
"SP110","SP110",19
"SRCAP","SRCAP",19
"SRGN","SRGN",19
"SRSF3","SRSF3",19
"SSR1","SSR1",19
"STAG3L5P-PVRIG2P-PILRB","STAG3L5P-PVRIG2P-PILRB",19
"STAT5B","STAT5B",19
"TCF3","TCF3",19
"TET3","TET3",19
"TGFBI","TGFBI",19
"TGOLN2","TGOLN2",19
"TKT","TKT",19
"TMED2","TMED2",19
"TMOD2","TMOD2",19
"TNFRSF1B","TNFRSF1B",19
"TPD52L2","TPD52L2",19
"TPM3","TPM3",19
"TRA2A","TRA2A",19
"TRAPPC10","TRAPPC10",19
"UBE2D3","UBE2D3",19
"UPF3A","UPF3A",19
"USP15","USP15",19
"USP25","USP25",19
"VCAN","VCAN",19
"VKORC1L1","VKORC1L1",19
"WAC-AS1","WAC-AS1",19
"WAPAL","WAPAL",19
"WASF2","WASF2",19
"YWHAE","YWHAE",19
"ZMAT2","ZMAT2",19
"ZNF217","ZNF217",19
"ZNF330","ZNF330",19
"ZNF384","ZNF384",19
"ACTR3C","ACTR3C",20
"AGAP2-AS1","AGAP2-AS1",20
"AKT1S1","AKT1S1",20
"ALDH6A1","ALDH6A1",20
"ANKRD13A","ANKRD13A",20
"APOBEC3B-AS1","APOBEC3B-AS1",20
"ARRB2","ARRB2",20
"ASB7","ASB7",20
"ATP5F1","ATP5F1",20
"BAZ2A","BAZ2A",20
"BDNF","BDNF",20
"C10orf54","C10orf54",20
"C16orf93","C16orf93",20
"C1orf112","C1orf112",20
"C21orf67","C21orf67",20
"C22orf23","C22orf23",20
"C6orf89","C6orf89",20
"CAP1","CAP1",20
"CCDC115","CCDC115",20
"CCDC154","CCDC154",20
"CEP19","CEP19",20
"CFLAR","CFLAR",20
"CHKA","CHKA",20
"CPNE5","CPNE5",20
"CSAD","CSAD",20
"CTC1","CTC1",20
"CTNS","CTNS",20
"DAGLB","DAGLB",20
"DCTN2","DCTN2",20
"DDX43","DDX43",20
"DEDD","DEDD",20
"DIMT1","DIMT1",20
"DNAH17","DNAH17",20
"ECHDC1","ECHDC1",20
"EMC4","EMC4",20
"EPB41L3","EPB41L3",20
"ERCC5","ERCC5",20
"ESRP2","ESRP2",20
"FAM115D","FAM115D",20
"FAM168A","FAM168A",20
"FAM63A","FAM63A",20
"FAM98C","FAM98C",20
"FBXO33","FBXO33",20
"FERMT3","FERMT3",20
"FGD1","FGD1",20
"FKBP14","FKBP14",20
"GALNT7","GALNT7",20
"GDF11","GDF11",20
"GGCX","GGCX",20
"GLIPR1","GLIPR1",20
"GLS","GLS",20
"GNA11","GNA11",20
"GNRH1","GNRH1",20
"GPR113","GPR113",20
"GPR64","GPR64",20
"HLTF-AS1","HLTF-AS1",20
"HMGN2P46","HMGN2P46",20
"HNRNPA3","HNRNPA3",20
"HP09053","HP09053",20
"HSD17B1","HSD17B1",20
"HTATSF1P2","HTATSF1P2",20
"IL17RB","IL17RB",20
"IL17RC","IL17RC",20
"IL21R-AS1","IL21R-AS1",20
"IL7R","IL7R",20
"INTS5","INTS5",20
"IRAK3","IRAK3",20
"JAK1","JAK1",20
"KCNK7","KCNK7",20
"KDM6B","KDM6B",20
"KIAA0895L","KIAA0895L",20
"KLHL22","KLHL22",20
"LACTB","LACTB",20
"LAIR1","LAIR1",20
"LDHB","LDHB",20
"LILRB2","LILRB2",20
"LINC00476","LINC00476",20
"LINC00649","LINC00649",20
"LNP1","LNP1",20
"LOC100130744","LOC100130744",20
"LOC100505812","LOC100505812",20
"LOC101929717","LOC101929717",20
"LOC154761","LOC154761",20
"LOC440300","LOC440300",20
"LPCAT3","LPCAT3",20
"MAN2C1","MAN2C1",20
"MARCH7","MARCH7",20
"MCEMP1","MCEMP1",20
"MGC16275","MGC16275",20
"MGRN1","MGRN1",20
"MINA","MINA",20
"MIR1260B","MIR1260B",20
"MIR328","MIR328",20
"MIR6503","MIR6503",20
"MMEL1","MMEL1",20
"MYO5C","MYO5C",20
"NAPEPLD","NAPEPLD",20
"NAPRT1","NAPRT1",20
"NDUFB2","NDUFB2",20
"NHP2","NHP2",20
"NID2","NID2",20
"NIPA2","NIPA2",20
"NNT","NNT",20
"NOL3","NOL3",20
"NOP14-AS1","NOP14-AS1",20
"NPPA","NPPA",20
"NR1D1","NR1D1",20
"OAZ3","OAZ3",20
"OSBP","OSBP",20
"OSCP1","OSCP1",20
"OTUD7A","OTUD7A",20
"OXA1L","OXA1L",20
"OXCT1-AS1","OXCT1-AS1",20
"PARP8","PARP8",20
"PASK","PASK",20
"PAX6","PAX6",20
"PAXIP1","PAXIP1",20
"PCED1B","PCED1B",20
